response,rt,participant_id,ab_nominal
1,1.529,717,0.05
1,2.426,717,0.05
0,1.488,717,0.05
1,3.127,717,0.05
1,1.31,717,0.05
0,2.82,717,0.05
0,1.785,717,0.05
1,3.559,717,0.05
1,1.48,717,0.05
1,1.788,717,0.05
1,1.776,717,0.05
1,2.374,717,0.05
1,1.232,717,0.05
1,2.361,717,10.0
0,3.818,717,10.0
1,4.375,717,10.0
1,1.197,717,10.0
1,1.522,717,10.0
1,1.447,717,10.0
1,4.78,717,10.0
0,2.849,717,0.05
1,1.344,717,0.05
1,0.996,717,0.05
1,1.406,717,0.05
1,1.184,717,0.05
0,3.035,717,0.05
1,2.722,717,0.05
1,0.902,717,0.05
1,2.022,717,10.0
1,3.116,717,10.0
1,2.292,717,10.0
1,1.378,717,10.0
0,3.974,717,10.0
1,1.586,717,10.0
1,1.313,717,10.0
0,4.414,717,10.0
1,2.641,717,10.0
0,1.061,717,10.0
1,3.37,717,10.0
1,0.739,717,10.0
1,2.575,717,10.0
1,2.913,717,10.0
1,2.093,717,10.0
1,1.268,717,10.0
1,1.354,717,0.05
1,1.225,717,0.05
1,0.968,717,0.05
0,1.557,717,0.05
1,1.936,717,0.05
1,0.898,717,0.05
1,1.99,717,0.05
1,2.268,717,0.05
0,1.794,718,10.0
0,1.054,718,10.0
1,0.677,718,10.0
0,0.748,718,10.0
1,1.757,718,10.0
1,1.192,718,10.0
1,0.842,718,10.0
1,1.74,718,10.0
0,1.28,718,0.05
1,0.819,718,0.05
1,0.728,718,0.05
0,1.006,718,0.05
0,0.876,718,0.05
1,0.689,718,0.05
0,0.944,718,0.05
1,1.511,718,0.05
0,1.834,718,0.05
1,1.32,718,0.05
1,1.64,718,0.05
1,1.024,718,0.05
0,1.295,718,0.05
1,1.673,718,0.05
1,0.959,718,0.05
1,1.94,718,0.05
1,1.457,718,10.0
1,0.971,718,10.0
1,1.089,718,10.0
1,0.862,718,10.0
1,0.894,718,10.0
1,0.909,718,10.0
0,1.109,718,10.0
0,1.621,718,10.0
1,0.999,718,10.0
1,0.921,718,10.0
0,1.537,718,10.0
1,1.161,718,10.0
1,0.785,718,10.0
0,1.411,718,10.0
1,1.178,718,10.0
0,1.367,718,10.0
1,1.126,718,0.05
0,1.54,718,0.05
1,1.519,718,0.05
1,0.844,718,0.05
0,0.921,718,0.05
1,1.16,718,0.05
1,0.879,718,10.0
0,2.248,718,10.0
0,1.876,718,10.0
1,2.001,718,10.0
1,0.861,718,10.0
1,1.494,718,10.0
1,1.1,718,10.0
1,2.107,718,10.0
0,0.991,718,0.05
0,1.452,718,0.05
1,0.964,718,0.05
0,0.94,718,0.05
1,0.992,718,0.05
1,1.58,718,0.05
1,0.903,718,0.05
1,0.773,718,0.05
1,0.951,718,0.05
1,0.837,718,0.05
1,1.828,718,0.05
0,1.136,718,0.05
0,0.927,718,0.05
1,0.754,718,0.05
0,1.055,718,0.05
1,0.683,718,0.05
1,0.745,718,10.0
1,1.215,718,10.0
0,1.386,718,10.0
0,1.447,718,10.0
1,1.301,718,10.0
1,1.81,718,10.0
1,1.0927,719,0.05
1,1.0125,719,0.05
1,1.3551,719,0.05
1,1.2139,719,0.05
0,1.2496,719,10.0
0,2.2345,719,10.0
0,2.3031,719,10.0
1,1.4546,719,10.0
1,1.546,719,10.0
1,1.9405,719,0.05
1,1.4069,719,0.05
1,0.8135,719,0.05
1,1.1663,719,0.05
1,1.4347,719,0.05
1,1.2584,719,0.05
1,1.9578,719,0.05
1,1.4933,719,10.0
1,1.9383,719,10.0
1,1.9094,719,10.0
0,1.5844,719,10.0
1,1.5621,719,10.0
1,1.1908,719,10.0
1,1.5747,719,10.0
0,1.5599,719,10.0
1,1.5327,719,0.05
1,1.5334,719,0.05
1,2.0422,719,0.05
1,0.9935,719,0.05
1,1.0255,719,0.05
1,1.508,719,0.05
1,0.82,719,0.05
1,0.9129,719,0.05
1,1.5815,719,10.0
1,1.2496,719,10.0
1,1.1393,719,10.0
1,1.8585,719,10.0
1,1.0022,719,10.0
1,1.709,719,10.0
0,1.31,719,10.0
0,1.0773,719,10.0
1,1.1427,719,10.0
0,1.386,719,10.0
1,1.0024,719,10.0
1,2.1151,719,10.0
1,1.3456,719,10.0
1,0.8587,719,10.0
0,1.0298,719,10.0
0,1.7263,719,10.0
1,1.1498,719,10.0
0,0.9916,719,10.0
1,0.8661,719,10.0
1,0.9005,719,10.0
1,0.7754,719,10.0
0,0.8929,719,10.0
1,1.9441,719,10.0
0,1.1334,719,0.05
0,0.8006,719,0.05
1,0.5689,719,0.05
1,1.059,719,0.05
1,0.8633,719,0.05
1,0.8011,719,0.05
1,1.0791,719,0.05
1,0.7615,719,0.05
1,0.9699,719,0.05
1,0.9323,719,0.05
1,1.0944,719,0.05
1,0.8684,719,0.05
1,0.7988,719,0.05
1,1.3934,719,0.05
0,0.8996,719,0.05
1,0.9527,719,0.05
1,0.9147,720,10.0
1,1.461,720,10.0
1,1.0383,720,10.0
1,1.3669,720,10.0
1,1.16,720,10.0
0,1.1772,720,10.0
1,1.3044,720,0.05
0,0.9921,720,0.05
1,1.5067,720,0.05
0,1.5122,720,0.05
1,1.2408,720,0.05
1,0.9568,720,0.05
1,0.8901,720,0.05
1,1.0597,720,10.0
1,0.9465,720,10.0
1,1.1898,720,10.0
1,1.3457,720,10.0
0,0.8297,720,10.0
1,1.0627,720,10.0
0,0.9667,720,10.0
1,1.2616,720,10.0
1,0.8267,720,0.05
1,0.7912,720,0.05
1,0.8249,720,0.05
1,1.5493,720,0.05
1,1.2493,720,0.05
0,1.0186,720,0.05
0,0.9004,720,0.05
1,1.1604,720,0.05
1,0.9607,720,10.0
1,2.0634,720,10.0
1,1.4934,720,10.0
1,1.464,720,10.0
1,0.929,720,10.0
1,0.9727,720,10.0
0,1.4789,720,10.0
1,1.5617,720,10.0
0,1.2281,720,0.05
1,1.879,720,0.05
1,1.7153,720,0.05
0,2.3233,720,0.05
1,1.7306,720,0.05
1,0.9607,720,0.05
1,1.1636,720,0.05
0,1.2164,720,0.05
1,1.0971,720,0.05
0,1.2314,720,0.05
1,1.4963,720,0.05
0,1.428,720,0.05
0,1.1301,720,0.05
1,1.3115,720,0.05
0,1.1624,720,0.05
1,1.166,720,0.05
0,2.2387,720,0.05
0,1.7435,720,10.0
1,1.6321,720,10.0
1,0.816,720,10.0
1,1.9685,720,10.0
1,0.827,720,10.0
1,1.8898,720,10.0
0,1.1302,720,10.0
1,1.4984,720,10.0
1,1.7452,720,10.0
1,1.1178,720,10.0
1,1.4824,720,10.0
0,1.98,720,10.0
1,1.5555,720,10.0
1,1.3341,720,10.0
1,2.0122,720,10.0
0,1.0688,720,10.0
0,1.3126,720,0.05
1,0.925,720,0.05
0,1.2234,720,0.05
1,1.3954,720,0.05
1,1.4634,720,0.05
0,0.714,720,0.05
1,1.0297,720,0.05
0,1.1176,720,0.05
1,2.5655,721,10.0
1,1.7299,721,10.0
1,1.1206,721,10.0
1,1.0395,721,10.0
1,2.3861,721,10.0
1,1.273,721,10.0
1,1.3035,721,10.0
1,2.1247,721,10.0
0,0.9094,721,10.0
1,0.9046,721,10.0
1,0.8627,721,10.0
0,3.3074,721,10.0
1,1.5358,721,10.0
0,1.2173,721,10.0
1,1.3157,721,10.0
1,1.05,721,10.0
1,1.1462,721,0.05
1,1.064,721,0.05
0,2.0498,721,0.05
0,0.9385,721,0.05
0,1.0704,721,0.05
1,1.6299,721,0.05
1,1.0539,721,0.05
1,0.8463,721,0.05
1,1.0762,721,0.05
1,0.8768,721,0.05
1,3.1034,721,0.05
1,1.8393,721,0.05
0,0.8945,721,0.05
0,1.5463,721,0.05
0,0.9447,721,0.05
0,0.9718,721,0.05
1,1.1952,721,0.05
0,1.441,721,0.05
1,0.9798,721,0.05
1,1.3529,721,0.05
1,1.6753,721,0.05
1,2.2945,721,0.05
0,1.9175,721,0.05
1,1.3523,721,0.05
0,1.2075,721,10.0
1,1.6316,721,10.0
1,1.2399,721,10.0
1,1.757,721,10.0
1,1.509,721,10.0
0,2.0172,721,10.0
1,2.9766,721,10.0
0,2.5614,721,10.0
1,1.8652,721,10.0
1,3.2728,721,10.0
0,3.4257,721,10.0
1,2.7653,721,10.0
0,2.3299,721,10.0
0,3.1616,721,10.0
1,1.8411,721,10.0
1,2.5149,721,0.05
0,3.7766,721,0.05
0,2.4064,721,0.05
0,2.7732,721,0.05
1,4.3897,721,0.05
1,3.3167,721,0.05
1,3.5197,721,0.05
1,4.2337,721,0.05
1,0.9894,721,0.05
1,3.624,721,0.05
0,1.6199,721,0.05
1,1.7323,721,0.05
0,2.0186,721,0.05
0,1.8206,721,0.05
0,3.0188,721,0.05
0,3.0502,721,0.05
1,3.2842,721,10.0
1,1.5052,721,10.0
0,2.6164,721,10.0
0,1.9488,721,10.0
1,1.5473,721,10.0
1,1.6825,721,10.0
1,2.5717,721,10.0
